Süsskartoffel Gratin mit Ziegenkäse,Gratin de patate douce au fromage de chèvre,Sweet potato gratin with goat cheese
Parmesan und Thymian,Parmesan et le thym,Parmesan and thyme
Vegetarische Penne,Penne Végétarienne,Vegetarian Penne
Wirsing Brotauflauf,Pouding au pain Wirsing,Wirsing bread pudding
Würziges Pistazien Pesto mit Jungspinat,Spicy pistache pesto avec de jeunes épinards,Spicy Pesto pistachio with young spinach
Überbackener Mangold,Baked Mangold,Baked Mangold
Afrikanischer Erdnusseintopf mit Reis,Arachide ragoût avec du riz africain,African peanut stew with rice
Afrikanischer Süsskartoffeleintopf,Douce ragoût de pomme de terre africaine,African sweet potato stew
Aloo Gobi mit Gurkensalat,Aloo gobi avec salade de concombre,Aloo Gobi with cucumber salad
Aloo Palak,Aloo Palak,Aloo Palak
Aprikosen - Tomaten - Ragout mit pikantem Gewürzreis,Abricot - tomates - Ragoût de riz assaisonnement épicé,Apricot - tomato - ragout with spicy seasoning rice
Asiatische Ofen-Teigrolle mit Sojasprossen und Koriander,Rouleau à pâtisserie du four asiatique avec les germes de soja et la coriandre,Asian oven pastry roll with bean sprouts and coriander
Asiatische Weizennudeln mit Spinat-Käse-Sauce,Nouilles de blé asiatiques avec épinards et sauce au fromage,Asian wheat noodles with spinach and cheese sauce
Aubergine in Kokossauce mit Reis,Aubergines à la sauce de noix de coco avec du riz,Eggplant in coconut sauce with rice
Auflauf aus Kartoffelbrei mit Champignons und Petersilie,Casserole de pommes de terre en purée avec des champignons et persil,Casserole of mashed potatoes with mushrooms and parsley
Banane im Curry-Reisring,Banana dans l'anneau de riz au curry,Banana in curry rice ring
Baumnuss Weisskohlrouladen,Noyer et rouleaux de chou blanc,Walnut and white cabbage rolls
Bergkäse-Risotto mit Lauch,Fromage de montagne risotto aux leek-,Mountain cheese risotto with leeks
Birnen,Poires,pears
Chicoree Flammkuchen,Chicorée Tarte,chicory Tarte
Blumenkohl an Karotten-Nuss-Sauce mit Bratkartoffeln,Chou-fleur aux carottes avec pommes de terre frites sauce aux noix,Cauliflower to carrots nut sauce with fried potatoes
Blumenkohlauflauf mit Salzkartoffeln,Chou-fleur gratin de pommes de terre bouillies,Cauliflower casserole with boiled potatoes
Bohnen-Mangold-Feta-Pfanne mit Fladenbrot,Les haricots et les blettes feta casserole avec galette,Beans and chard feta pan with flatbread
Bohnengulasch mit Brot,Bean goulasch avec du pain,Bean stew with bread
Bratnudeln mit geräuchertem Tofu und Mais,Nouilles sautées au tofu fumé et de maïs,Fried noodles with smoked tofu and corn
Brokkoli-Tofu-Pfanne auf Basmatireis,Tofu de brocoli sauté sur du riz basmati,Broccoli Tofu stir-fry on basmati rice
Buchweizen-Risotto italienisch mit Haselnüssen,Sarrasin Risotto italien aux noisettes,Buckwheat Risotto Italian with hazelnuts
Bulgur-Kohlroulade mit Mandelblättchen und Olivenöl,Boulgour chou farci aux amandes effilées et l'huile d'olive,Bulgur stuffed cabbage with almonds and olive oil
Bulgur-Ofenschüssel mit frischen Kräutern,Bulgur plat allant au four avec des herbes fraîches,Bulgur oven dish with fresh herbs
Bulgurpfanne mit frischem Schafkäse,Bulgurpfanne avec fromage de chèvre frais,Bulgurpfanne with fresh sheep cheese
Bunte Gemüse-Tofu-Pfanne mit Reisnudeln,Colorful légumes sauté de tofu avec des nouilles de riz,Colorful vegetable tofu stir-fry with rice noodles
Bunter Gemüse-Eintopf,Colorful ragoût de légumes,Colorful vegetable pot
Buntes mediterranes Ofengemüse,Colorful légumes grillés méditerranéens,Colorful Mediterranean roasted vegetables
Bärlauchkuchen mit Quark und Sesam,Ramson gâteaux avec du fromage cottage et de sésame,Wild garlic with cottage cheese and sesame
Cannelloni mit Ricotta und Spinat,Cannelloni de ricotta et aux épinards,Cannelloni with ricotta and spinach
Cashew-Tofu-Pfanne mit gebratenen Nudeln,Cashew tofu sauté avec nouilles frites,Cashew tofu stir-fry with fried noodles
Champignon-Spätzle mit karamelisierten-Röstzwiebeln,Mushroom spaetzle avec Oignons caramélisés,Mushroom spaetzle with caramelized onions-
Chicoree mediterrane Art mit Baguette,Chicorée de style méditerranéen avec baguette,Chicory Mediterranean style with baguette
Chili con Sojageschnetzeltem,Chili con Sojageschnetzeltem,Chili con Sojageschnetzeltem
China Nudel-Pfanne mit Frühlingszwiebeln,Chine nouilles Sauté avec échalotes,China noodle stir-fry with scallions
Chinesische Nudeln im Wok sweet&sour,Nouilles chinoises dans un wok Sweet & Sour,Chinese noodles wok sweet & sour
Couscous mit Power-Kichererbsen und Blattspinat,Couscous aux pois chiches et les épinards Puissance,Couscous with power chickpeas and spinach
Couscous Pfanne mit Chinakohl und Rosinen,Couscoussier avec du chou et les raisins secs,Couscous pan with Chinese cabbage and raisins
Cremiges Erdnusspfännchen mit Reis,Riz crémeux aux Erdnusspfännchen,Creamy rice with Erdnusspfännchen
Crepe mit Gartenkräutern und Mozzarella,Crêpe aux fines herbes et mozzarella,Crepe with garden herbs and mozzarella
Curry-de-patata mit Pfirsich und Paprika,Curry-de-patata avec des pêches et poivrons,Curry-de-patata with peach and peppers
Curry-Ebly mit Quorn in Weissweinsauce,Curry d'Ebly avec Quorn en sauce au vin blanc,Curry Ebly with Quorn in white wine sauce
Curry-Ofenkürbis mit Reis,Citrouille Curry-four avec du riz,Curry-oven pumpkin with rice
Currysuppe mit Birne,Soupe Curry à la poire,Curry soup with pear
Dal Bhat Nepalesisch,Népalais Dal Bhat,Dal Bhat Nepali
Deftiger Maronibraten,Châtaignes grillées copieux,Hearty roast chestnuts
Deftiger Nudelauflauf mit frischen Tomaten,Copieux casserole de nouilles avec des tomates fraîches,Hearty pasta bake with fresh tomatoes
Deftiger Ofenpfannkuchen mit Pilzfüllung,Crêpes four copieux avec farce aux champignons,Hearty oven pancakes stuffed with mushrooms
Eblotto (Eblyrisotto) vegetarisch,Eblotto (Eblyrisotto) Végétarien,Eblotto (Eblyrisotto) Vegetarian
Einfaches Ratatouille mit Couscous,Ratatouille simple avec du couscous,Simple Ratatouille with couscous
Erfrischender Quinoasalat mit Tomaten und Avocado,Actualisation de quinoa avec des tomates et de l'avocat,Refreshing Quinoa with tomatoes and avocado
Exotische Tofupfanne mit Gemüse und Kokosmilch,Légumes exotiques et de lait de noix de coco avec Tofupfanne,Exotic Tofupfanne with vegetables and coconut milk
Frühlings- Gnocchi mit frischem Spargel und Salbei,Printemps gnocchis aux asperges fraîches et à la sauge,Spring gnocchi with fresh asparagus and sage
Frühlingskartoffeln mit Rosmarin-Gemüse,Les pommes de terre de printemps avec des légumes de romarin,Spring potatoes with rosemary vegetables
Gebackene Banane mit Linsen,La banane au four avec des lentilles,Baked banana with lenses
Gebackene Kartoffel im Ofen,Pomme de terre cuite au four,Baked potato in oven
Gebratene Pilze mit Kartoffeln,Champignons frits avec pommes de terre,Fried mushrooms with potatoes
Gebratenes Gemüse mit Bulgur und Sambal-Oelek,Légumes grillés avec bulgur et Sambal-Oelek,Roasted vegetables with bulgur and sambal Oelek
Gebratenes Quinoa mit Safran und Kohl,Quinoa frit avec du safran et le chou,Fried Quinoa with saffron and carbon
Gefüllte Blätterteig-Ecken mit Tomaten und Spinat,Pâte feuilletée remplis triangles avec des tomates et les épinards,Stuffed puff corners with tomatoes and spinach
Gefüllte Gemüsecrêpes mit Hüttenkäse,Crêpes de légumes farcis au fromage cottage,Stuffed vegetable crepes with cottage cheese
Gefüllte Pasta mit Ricotta und Rübli,Pâtes farcies à la ricotta et Rubli,Filled pasta with Ricotta and Carrot
Gefüllte Zucchini-Schiffe mit Quinoa und Ahornsirup,Stuffed Zucchini navires avec le quinoa et le sirop d'érable,Stuffed Zucchini boats with quinoa and maple syrup
Gemüse in Erdnusssauce und Nudeln,Légumes à la sauce d'arachide et des nouilles,Vegetables in peanut sauce and noodles
Gemüsepfannkuchen mit Feta,Crêpes légumes à la feta,Vegetable pancakes with feta
Gesunde Vollkornnudeln an Erdnussbuttersauce mit Mangold,Pâtes de grains entiers sains à la sauce d'arachide de blettes,Healthy whole grain pasta in peanut sauce with chard
Gnocchi mit fruchtiger Cranberry-Sauce,Gnocchi à la sauce aux canneberges fruité,Gnocchi with fruity cranberry sauce
Gnocchis mit Zucchini-Käse-Sauce,Gnocchi aux courgettes et sauce au fromage,Gnocchi with zucchini and cheese sauce
Gratin mit Sahnesauce und Hirse,Gratin de sauce à la crème et le millet,Gratin with cream sauce and millet
Griechische Gemüsepfanne mit Salzkartoffeln,Casserole de légumes grecque avec pommes de terre bouillies,Greek vegetable pan with boiled potatoes
Griechische Käse-Kartoffelpfanne,Kartoffelpfanne de fromage grec,Greek Cheese Kartoffelpfanne
Grüner Spargel und junge Kartoffeln mit frühlingshaftem Pesto,Asperges vertes et pommes de terre au pesto jeunes Vernal,Green asparagus and young potatoes with pesto Vernal
Grünkern - Sauerkraut - Gratin,Épeautre vert - Choucroute - Gratin,Grünkern - Sauerkraut - Gratin
Grünkernbraten mit oranger Paprikasosse,Rôti épeautre vert,Grünkern roast with orange pepper sauce
Grünspargel mit Kräuter-Couscous und Zitronen-Sauce,Asperges vertes avec du couscous aux herbes et sauce au citron,Green asparagus with herb couscous and lemon sauce
Grünspargel mit Radieschen und Kartoffelschnitze,Asperges vertes avec radis et pommes de terre cales,Green asparagus with radish and potato wedges
Hausgemachte Falafel,Falafel maison,Homemade Falafel
Heiss gebratenes Pak Choi Gemüse,Légumes frits pak choi Hot,Hot fried pak choi vegetables
Hirse-Gemüse-Bratling mit Joghurtsauce und Salat,Millet et galette de légumes avec sauce au yaourt et salade,Millet and vegetable patty with yoghurt sauce and salad
Hokkaidokürbis-Eintopf mit Mais,Hokkaido citrouille ragoût avec du maïs,Hokkaido pumpkin stew with corn
Holländische Kartoffelpuffer mit bunter Salat,Crêpes de pommes de terre néerlandais avec salade mixte,Dutch potato pancakes with mixed salad
Indisches Biryani,Biryani indien,Indian Biryani
Irischer Colcannon,Irish Colcannon,Irish Colcannon
Italienische Spaghettini al olio e peperoncino,E le piment de Spaghettini italien al,Italian Spaghettini al olio e peperoncino
Italienischer Krauteintopf mit Chilli,Ragoût de herbe italien avec Chilli,Italian herb stew with chilli
Italienischer Reissalat mit Cherrytomaten und Oliven,Salade de riz italien avec des tomates cerises et olives,Italian rice salad with cherry tomatoes and olives
Kaiserschmarrn mit Zimt und Apfel,Pancake avec de la cannelle et de la pomme,Pancake with cinnamon and apple
Karotten-Bananen-Ragout mit Rosinenreis,Carotte banane ragoût avec du riz raisins,Carrot Banana stew with raisins rice
Karotten-Ingwer Couscous mit Kardamom,Carottes et gingembre couscous à la cardamome,Carrot and ginger couscous with cardamom
Kartoffel - Birnen - Gratin,Pommes de terre - Gratin de poires -,Potato - pears - Gratin
Kartoffel Pfifferling Ragout,Chanterelle Ragoût de pommes de terre,Potato chanterelle ragout
Kartoffel Provencal mit frischem Lauch,Pommes de terre provençale avec poireaux frais,Potato Provencal with fresh leek
Kartoffel-Peperoni-Pfanne,Pan de pommes de terre de pepperoni,Potato pepperoni pan
Kartoffelgratin mit Käse und Champignons,Gratin de pommes de terre avec du fromage et champignons,Potato gratin with cheese and mushrooms
Kartoffelgratin mit Rosmarin,Gratin de pommes de terre au romarin,Potato gratin with rosemary
Kartoffelknödel mit Kräuter und Schafskäse Füllung,Boulettes de pommes de terre avec du fromage de remplissage de fines herbes et de moutons,Potato dumplings with herbs and sheep's cheese filling
Kartoffeln mit Schmorgurkenfüllung,Pommes de terre avec Schmorgurkenfüllung,Potatoes with Schmorgurkenfüllung
Kartoffelpfanne mit Austernseitlinge,Plat de pommes de terre aux pleurotes,Potato dish with oyster mushrooms
Kartoffeltortilla mit Zucchettisalat,Pommes de terre tortilla avec Zucchettisalat,Potato tortilla with Zucchettisalat
Kichererbsen-Auberginen-Eintopf,Le pois chiche ragoût d'aubergine,Chickpea and aubergine stew
Klassische Eierspätzle-Pfanne mit Gemüse,Nouilles aux œufs classiques de sautés de légumes,Classical Eierspätzle stir-fry vegetables
Klassische Kartoffel-Gemüse-Pfanne,Pommes de terre classique et de légumes Sauté,Classic Potato and Vegetable Stir Fry
Klassisches Soja-Geschnetzel mit Erdnüssen,Geschnetzel de soja classique avec des arachides,Classic soy Geschnetzel with peanuts
Knusprige panierte Sesam-Möhren-Polenta,Croustillant pané polenta sésame de carotte,Crispy breaded sesame carrots and polenta
Kochbananen afrikanisch mit Kokos,Plantains avec la noix de coco africain,Plantains with coconut african
Kohlrabi-Gemüse mit heller Sauce und Salzkartoffeln,Légumes chou-rave à la sauce blanche et pommes de terre bouillies,Kohlrabi vegetables with white sauce and boiled potatoes
Kresse-Risotto mit Baumnuss-Tomme,Cress risotto aux noix Tomme,Cress risotto with walnut-Tomme
Kräftige TexMex Lasagne,Vigoureuse TexMex Lasagne,Vigorous TexMex Lasagne
Kräuter-Käse Nussbraten,Herb fromage écrou rôti,Herb cheese nut roast
Käs'spätzle mit Schmorzwiebeln,Avec des oignons braisés Käs'spätzle,Käs'spätzle with stewed onions
Käse-Polenta mit Pilzen,Polenta au fromage avec champignons,Polenta with Mushrooms
Käsespätzle traditionell,Käsespätzle traditionnelle,Käsespätzle traditionally
Kürbis - Belugalinsen Pfanne,Pumpkin - les lentilles de bélugas pan,Pumpkin - beluga lentils pan
Kürbis - Gnocchi mit Salbeibutter,Pumpkin - Gnocchi au beurre de sauge,Pumpkin - Gnocchi with sage butter
Kürbis afghanische Art mit Fladenbrot,Citrouille de style afghan avec galette,Pumpkin Afghan style with flatbread
Kürbis Ofengemüse Kräuter-Dip,Citrouille légumes grillés trempette aux herbes,Pumpkin roasted vegetables herb dip
Kürbis-Feta-Tomaten-Gratin,Feta de citrouille et gratin de tomate,Pumpkin feta and tomato gratin
Küstiger Maronibraten mit Salat,Küstiger Maroni rôti avec de la salade,Küstiger Maroni roast with salad
Leckere Gemüse-Paella,Une savoureuse paëlla végétale,Tasty vegetable paella
Leckerer Bulgur - Schafskäse Gratin,Délicieux boulgour - feta gratin,Yummy Bulgur - feta gratin
Leichter Ricotta und Rucola-Wrap,Ricotta lumière et roquette Wrap,Light ricotta and arugula Wrap
Leichtes Shiitake-Risotto,Léger Shiitake Risotto,Lightweight Shiitake Risotto
Libanesisches Auberginen-Tajine,Libanais aubergines tagine,Lebanese eggplant tagine
Linguine in Honig-Kräuter-Pesto,Linguine au miel et herbes pesto,Linguine in honey and herb pesto
Linguine mit Safran-Orangensauce und grünem Spargel,Linguine avec sauce à l'orange safran et asperges vertes,Linguine with saffron orange sauce and green asparagus
Linsen-Curry mit frischem Mangold,Curry de lentilles aux blettes frais,Lentil curry with fresh chard
Linsenmoussaka mit Peperoni,Linsenmoussaka de pepperoni,Linsenmoussaka with pepperoni
Linsenpfanne mit gebratenem Tofu,Pan d'objectif avec tofu frit,Lens pan with fried tofu
Mais Quinoa Gemüse mit Minze,Légumes maïs quinoa à la menthe,Corn Quinoa vegetables with mint
Malfatti mit Blattsalat,Malfatti avec des feuilles de salade,Malfatti with salad leaves
Mangold-Quiche,Mangold quiche,Mangold quiche
Mangoldstrudel mit Salat,Strudel Mangold avec de la salade,Mangold strudel with salad
Mediterraner Gemüsetopf mit Joghurt - Tomatensauce,Ragoût de légumes avec du yogourt Méditerranée - sauce tomate,Mediterranean vegetable stew with yogurt - tomato sauce
Mediterraner Kartoffelstock,La pomme de terre méditerranéenne Stock,Mediterranean potato Stock
Mittelmeer-Ebly-Pfanne mit Pesto und Gemüse,Pan méditerranéenne Ebly au pesto et légumes,Mediterranean Ebly pan with pesto and vegetables
Moussaka aus Saison-Gemüse und Dinkel,Moussaka de légumes de saison et épeautre,Moussaka from seasonal vegetables and spelled
Mozzarella-Teigtasche mit Tiefkühlgemüse,Mozzarella boulette avec des légumes surgelés,Mozzarella dumpling with frozen vegetables
Mualle mit Fladenbrot,Mualle avec galette,Mualle with flatbread
Nepalesischer Fenchel mit Reis,Fenouil népalaise avec du riz,Nepalese fennel with rice
Nudeln mit überbackenen Spitzpaprika und Käsefüllung,Pâtes aux grillé remplissage Spitzpaprika et le fromage,Pasta with baked green peppers and cheese filling
Nuss-Pellkartoffel-Auflauf,Nut Pellkartoffel cocotte,Nut Pellkartoffel casserole
Nüsslisalat mit Belugalinsen und gebratenen Süßkartoffeln,La mâche avec des patates douces rôties et les lentilles Beluga,Lamb's lettuce with beluga lentils and fried sweet potatoes
Ofenfrischer Auberginen-Zucchini Auflauf,Four aubergines fraîches courgettes Casserole,Oven Fresh Eggplant Zucchini Casserole
Ofengemüse mit Halloumi und Rosmarin,Légumes grillés avec Halloumi et le romarin,Roasted vegetables with Halloumi and rosemary
Ofenpfanne Tomate,Tomate poêle Four,Oven pan Tomato
Feta und Soja,Feta et le soja,Feta and soy
Ofenpolenta mit Chicoree und Ziegenkäse (glutenfrei),Polenta Four avec de la chicorée et de fromage de chèvre (sans gluten),Oven polenta with chicory and goat cheese (gluten-free)
Orientalische Bandnudelpfanne mit Sprossen,Pan Bandnudel Oriental avec des germes,Oriental Bandnudel pan with sprouts
Orientalischer Linseneintopf,Oriental ragoût de lentilles,Oriental lentil stew
Palak Paneer mit Spinat,Palak paneer avec des épinards,Palak Paneer with spinach
Panierte Kohlrabi mit Blattsalat,Chou-rave pané avec des feuilles de salade,Breaded kohlrabi with lettuce
Panierter Knollensellerie,Céleri-rave pané,Breaded celeriac
Paprika gefüllt mit Schafskäse auf Couscous,Poivrons farcis avec du fromage feta sur couscous,Peppers stuffed with feta cheese on couscous
Parmigiana di Melanzane,Parmigiana di Melanzane,Parmigiana di melanzane
Pasta Bolognese mit italienischen Kräutern,Pasta bolognaise avec des herbes italiennes,Pasta Bolognese with Italian herbs
Pasta Guacamole - Mexikanisch,Pasta Guacamole - Mexique,Pasta Guacamole - Mexican
Pasta mit Cherry-tomaten und Frischkäse,Pâtes aux tomates cerises et fromage frais,Pasta with cherry tomatoes and cream cheese
Pasta mit Kürbis und Pinienkernen,Pâtes aux citrouille et noix de pin,Pasta with pumpkin and pine nuts
Pasta mit Zitronen-Parmensan-Sosse,Pâtes à la sauce de citron Parmensan,Pasta with lemon sauce Parmensan
Pasta Pfanne mit Chili-Brösel,Pan de pâtes avec de la mie de piment,Pasta pan with chilli crumbs
Persischer Reis mit Berberitzen und Safran,Riz Persique avec l'épine-vinette et le safran,Persian rice with barberries and saffron
Pfiffig mexikanische Wrapfüllung,Pfiffig mexicaine Wrapfüllung,Pfiffig Mexican Wrapfüllung
Pho Bo (vietnamesische Reisnudelsuppe),Pho Bo (riz soupe de nouilles vietnamienne),Pho Bo (Vietnamese Rice noodle soup)
Pilz-Maronen-Ragout mit Salzkartoffeln,Ragoût de champignons avec pommes de terre bouillies châtaignes,Mushroom chestnut ragout with boiled potatoes
Polenta-Käseklösschen mit Muskat,Boulettes de polenta au fromage avec la noix de muscade,Polenta-cheese dumplings with nutmeg
Provencalische Pfanne mit Reis oder Brot,Pan provençale avec du riz ou du pain,Provencal pan with rice or bread
Quiche mit Chicoree und Baumnüsse,Quiche aux endives et noix,Quiche with chicory and walnuts
Quiche mit Zuckerrüben und Kürbis,Quiche aux betteraves à sucre et la citrouille,Quiche with beet and pumpkin
Quinoa-Bratlinge mit Tomatensauce und Blattsalat,Burgers de quinoa à la sauce tomate et les feuilles de salade,Quinoa burgers with tomato sauce and salad leaves
Quinoa-Tofu-Gemüse Reis-Mix,Quinoa Tofu mélange de riz aux légumes,Quinoa and tofu vegetable rice mix
Quinoabratlinge an Knoblauch-Sauerrahm und Blattsalat,Quinoabratlinge d'ail crème sure et salade,Quinoabratlinge of garlic sour cream and salad
Randen-Süßkartoffel-Gratin mit pfiffigem Ingwer,Randen la patate douce avec un gratin de gingembre effronté,Randen sweet potato gratin with a cheeky ginger
Rassig Fenchel-Rüebli-Gemüse,Interracial fenouil-carotte-légumes,Interracial fennel carrot vegetable
Rassiges Kichererbsencurry,Racy pois chiches au curry,Purebred chickpea curry
Ravioli mit Salbei und Kürbisfüllung,Ravioli à la sauge et le remplissage de potiron,Ravioli with sage and pumpkin filling
Red-Beet Pasta mit scharfen Rettich,Rouge-betterave Pâtes aux radis forte,Red-Beet Pasta with sharp radish
Reis mit Süsskaroffelcurry und karamellisierter Ananas,Riz à l'ananas caramélisé et Süsskaroffelcurry,Rice with caramelized pineapple and Süsskaroffelcurry
Rhabarberlinsen mit Basmatireis,Les lentilles de rhubarbe et son riz basmati,Rhubarb lentils with basmati rice
Risotto aus Venedig,Risotto de Venise,Risotto from Venice
Rosenkohl-Lauch-Gratin,Les choux de Bruxelles et le poireau gratin,Brussels sprouts and leek gratin
Rosmarinkartoffeln mit Zitronen-Wirsing,Les pommes de terre au romarin avec Savoy de citron,Rosemary potatoes with lemon Wirsing
Rote-Bete-Curry mit Reis,Betterave curry avec du riz,Beetroot curry with rice
Roter Linseneintopf,Lentilles rouges Stew,Red Lentil Stew
Rotkohl-Gratin mit Preiselbeeren und Pinienkernen,Chou gratin avec des canneberges et noix de pin,Cabbage gratin with cranberries and pine nuts
Rotwein - Ragout mit Seitan,Rouge - ragoût avec seitan,Red - ragout with Seitan
Rucola-Ravioli,Raviolis de roquette,Arugula ravioli
Russischer Hackfleischtopf mit Penne,Russie boeuf haché pot avec Penne,Russian ground beef pot with Penne
Röst-Kartoffel mit Bärlauchsalz und Gemüse,Torréfaction de pommes de terre avec du sel et légumes de l'ail sauvage,Roasting potatoes with wild garlic salt and vegetables
Rösti mit Thymian-Champignons-Weisswein Sauce,Rosti avec sauce au vin blanc thym champignons,Rosti with thyme mushrooms and white wine sauce
Rüebli Hirsepfanne mit Joghurtsosse,Carotte pan de mil avec sauce au yaourt,Carrot millet pan with yogurt sauce
Safranrisotto mit gebackenen Tomaten und glasiertem Zwiebellauch,Risotto au safran avec des tomates grillées et oignons glacés,Saffron risotto with roasted tomatoes and glazed spring onions
Saftige Grünkern Bolognese,Juicy épeautre vert Bolognese,Juicy Grünkern Bolognese
Saftiger mexicanische Gemüseeintopf,Juicy ragoût de légumes mexicaine,Juicy Mexican vegetable stew
Saftiges Thai-Kokos Curry,Juicy curry thaï de noix de coco,Juicy Thai coconut curry
Scarpaccia mit Blattsalat,Scarpaccia avec des feuilles de salade,Scarpaccia with salad leaves
